ParticipantID,Age,HomeSize,MonthlyElectricityConsumption,MonthlyWaterConsumption,Location_Suburban,Location_Urban,Location_Rural,DietType_Mostly Animal-Based,DietType_Mostly Plant-Based,DietType_Mostly Balanced,TransportationMode_Car,TransportationMode_Public Transit,TransportationMode_Walk,TransportationMode_Bike,EnergySource_Non-Renewable,EnergySource_Renewable,EnergySource_Mixed,HomeType_Apartment,HomeType_House,HomeType_Other,Gender_Male,Gender_Female,Gender_Non-Binary,Gender_Prefer not to say,LocalFoodFrequency_Often,LocalFoodFrequency_Always,LocalFoodFrequency_Rarely,LocalFoodFrequency_Sometimes,ClothingFrequency_Often,ClothingFrequency_Always,ClothingFrequency_Rarely,ClothingFrequency_Sometimes,SustainableBrands_TRUE,SustainableBrands_FALSE,EnvironmentalAwareness_1,EnvironmentalAwareness_2,EnvironmentalAwareness_3,EnvironmentalAwareness_4,EnvironmentalAwareness_5,CommunityInvolvement_Low,CommunityInvolvement_High,CommunityInvolvement_Moderate,CommunityInvolvement_None,UsingPlasticProducts_Often,UsingPlasticProducts_Rarely,UsingPlasticProducts_Sometimes,UsingPlasticProducts_Never,DisposalMethods_Composting,DisposalMethods_Landfill,DisposalMethods_Recycling,DisposalMethods_Combination,PhysicalActivities_Low,PhysicalActivities_Moderate,PhysicalActivities_None,PhysicalActivities_High,Rating
1,35.0,800.0,100.0,1500.0,0,0,0,False,True,0,False,False,False,True,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,True,False,False,True,False,False,False,False,False,0,True,5
2,28.0,1500.0,250.0,3000.0,0,0,0,False,False,0,False,True,False,False,0,False,True,False,True,False,True,False,0,False,False,False,False,True,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
3,65.0,2500.0,400.0,4500.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,True,False,0,False,False,False,True,False,True,False,False,False,0,0,0,2,0,0,0,True,False,False,0,True,False,False,False,False,True,False,False,True,False,0,False,1
4,42.0,950.0,150.0,2000.0,0,0,0,False,True,0,False,False,True,False,0,True,False,True,False,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,True,False,False,False,False,True,False,False,False,0,True,5
5,31.0,1800.0,300.0,3500.0,0,0,0,False,False,0,False,True,False,False,0,False,True,False,True,False,False,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,False,True,False,False,False,False,True,False,True,0,False,3
6,58.0,2200.0,450.0,5000.0,0,0,0,True,False,0,True,False,False,False,0,False,False,False,True,False,True,False,0,False,False,False,True,False,False,True,False,False,0,0,0,1,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
7,25.0,600.0,80.0,1200.0,0,0,0,False,True,0,False,False,False,True,0,True,False,False,False,True,False,True,0,False,False,True,False,False,False,False,True,False,0,0,0,5,0,0,0,False,True,False,0,False,False,False,True,True,False,False,False,False,False,0,True,5
8,39.0,1600.0,200.0,2800.0,0,0,0,False,False,0,False,True,False,False,0,True,False,False,True,False,False,True,0,False,True,False,False,False,False,False,False,True,0,0,0,4,0,0,0,False,False,True,0,False,False,True,False,False,False,True,False,False,True,0,False,4
9,52.0,2000.0,350.0,4000.0,0,0,0,False,True,0,False,False,True,False,0,False,True,False,True,False,True,False,0,False,False,False,False,True,True,False,False,False,0,0,0,3,0,0,0,True,False,False,0,False,True,False,False,False,False,False,True,True,False,0,False,3
10,29.0,1100.0,380.0,4200.0,0,0,0,True,False,0,True,False,False,False,0,False,False,True,False,False,False,False,0,False,False,False,True,False,False,True,False,False,0,0,0,2,0,0,0,False,False,False,0,True,False,False,False,False,True,False,False,False,False,0,False,1
